,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      USA,29121.94737,613.578947,20.947368,619.315789,,88.473684,650.684211,888.526316,,81.263158,2.157895,5.052632,107.421053,65.157895,,208.736842,,7.263158,,83.210526,59.842105,7.684211,93.052632,,2.526316,21.315789,181.684211,26.684211,183.315789,360.947368,66.789474,90.105263,68.157895,13.736842,10.157895,229.473684,23.105263,47.684211,1214.473684,27.578947,109.210526,5.315789,0.421053,65.789474,48.263158,21.526316,11.210526,445.736842,16.421053,29.842105,86.105263,9.368421,71.315789,,600494.0526,15.263158,2086.684211,66.947368,,39764.84211,722.210526,51050.47368,22255.73684,20491.21053,2910.894737,219622.6842,5936.105263,8092.263158,2821.947368,22207.89474,,5267.263158,1734.842105,2627.315789,1023,604.684211,,2081.315789,1865.789474,326.684211,,1907.894737,830.421053,420.315789,1569.578947,1964.315789,694.368421,3040.157895,19.631579,,552.210526,0.684211,94.473684,79.631579,12880.47368,464.894737,,24554.21053,386951.7368,522.421053,796.842105,187.894737,128.368421,516.684211,1477.157895,446.210526,236.842105,297.526316,10297.78947,,283.842105,7349.052632,5707.736842,,231.263158,,25.315789,121.736842,2.631579,227.105263,26.789474,21.526316,397.894737,64774.31579,18385.05263,3832.526316,125367.2105,2.631579,53180.63158,14.684211,21.526316,604.105263,4554,374650.3684,92901.21053,62770.05263,24010,,7.368421,235.842105,,36081,21873.26316,138888.3684,256698.8947,5564.947368,42169.68421,72256.05263,139025.6842,5704.315789,40899.89474,304483.3684,,17051.89474,15333.10526,1215.526316,22018.47368,41192.94737,34257.26316,,21.789474,376.315789,,12.578947,474,4819.210526,156.052632,8068.526316,3378.789474,449.894737,,4225.421053,7816.736842,157720.5789,24781.52632,5,146.631579,397,322.315789,145.421053,0.421053,,
      Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684211,52.947368,,,,5.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894737,,,,,,,,,,,,,,,,,,,,,,,,,3.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.052632,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      St Pierre Miqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,1.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,49.894737,,,,,1.526316,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.052632,3715.368421,21.263158,,,,115.789474,755.421053,674.315789,122.263158,31.368421,397.421053,471.315789,68.052632,933.263158,44.105263,,20.473684,0.421053,9.789474,0.368421,0.263158,,,,,2.368421,0.526316,,1.368421,,,,,,,,,,,2.631579,,,59.842105,142.473684,,2.473684,,,5,,25.894737,,,1.421053,,,,12.368421,,,,,,,,,,,3.842105,,,0.789474,,8.894737,,,,0.473684,4.526316,0.263158,,3.473684,,,,,0.578947,1.157895,84.526316,162.421053,0.578947,0.631579,368.473684,10.631579,2.263158,310.894737,217.052632,,0.315789,,,,3,0.473684,,,,,,,,,,36.631579,0.736842,,,3.789474,2.789474,,,,,1.421053,,,,
      Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.631579,13.894737,,,,5.842105,,,2.368421,,0.421053,,1.631579,3.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.368421,,10.631579,8.736842,,,9.894737,0.578947,0.263158,5.368421,5.263158,,12.052632,,,,,2.842105,,,,,,,,,,,,,,,0.263158,,,,,,,,,
      Brazil,65.210526,12.578947,,1.157895,,,5.736842,29.631579,,,,,3.947368,,,78.157895,,,,,1.526316,,,,,1.631579,,,32.684211,3.263158,,,,,,,1.842105,,141.894737,,,,,5.894737,,,,0.315789,3.421053,,,,,,232.157895,1388,0.842105,,,2103.157895,55.473684,,477.105263,137.526316,99.105263,541.105263,572.631579,79.578947,416.263158,339.105263,,8.368421,2.157895,2.473684,3.421053,4.263158,,,0.368421,,0.789474,11.157895,2.263158,,,1.368421,3.315789,1,,,,,1.473684,,33.631579,3.842105,,6.947368,1604.894737,,1.210526,,27.578947,,4.052632,,,,29.947368,,1.736842,4.473684,1.684211,,,,,,,,,,1.578947,35.368421,0.736842,21.736842,16.684211,,2.947368,,,,,26.052632,10.473684,11.263158,4.947368,0.421053,,,,18.947368,13.421053,377.052632,1753.473684,7.736842,2.263158,292.842105,114.473684,369.736842,346.894737,424.315789,,14.894737,8.578947,,4.263158,12.263158,70.842105,,,0.842105,,,,,,2.263158,,,,,1.526316,56.368421,2.947368,,,,,,,,
      Chile,,,,,,,,,,,,,,,,,,1.157895,,,,,,,,,,,,,0.263158,,,,,,,0.315789,,,,,,,,,,,,,,,,,93.842105,1342.105263,,,,1926.842105,309.894737,1189.105263,,773.736842,401.157895,309.105263,152.421053,649.210526,76.736842,154.842105,,24.736842,142.631579,36.315789,7.789474,4.789474,,,,,9.421053,15.315789,,,1,,,,,,,,,0.842105,26.631579,,,1.368421,19.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,16.421053,,,,,,,,23.315789,19.263158,4.315789,,,,,,1.631579,,47.736842,67.263158,,,7.789474,6.210526,,48.526316,34.052632,,3.684211,0.578947,,,4.105263,5.631579,,,,,,,,,,7.368421,,,,,18.052632,,,,,,,,21.473684,
      Colombia,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,1.105263,,,,,,,,,,,,,,,,,,,,,,,,,,24.736842,2584.736842,,,,180.315789,83.421053,92.947368,350.947368,,1488.736842,264,34.526316,405.526316,2.789474,1649.368421,,108.947368,24.052632,48,3.473684,4.789474,,,,,2.315789,25.421053,0.578947,0.368421,,221.684211,,,,,,,,,1153.157895,,,1.736842,22.052632,,,,,,,0.473684,,,2.736842,,,,,,,,,,,,,,,,,,4.526316,,,,,,,,,,2.368421,,,,,1.210526,0.947368,36.842105,13.526316,,,56.368421,12.526316,,66.368421,22.263158,,3,,,0.894737,7.473684,97.842105,,,,,,,,,0.421053,,3,,0.368421,5.526316,2.894737,,,,,,,,27.684211,
      Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,24.736842,,,,,,,,10.105263,,,,2.315789,,0.263158,,,,,,,,,,,,,,,,0.263158,,,,,,,,,0.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.631579,,7.842105,5.315789,,,2.210526,0.263158,,1.842105,1.526316,,,,,,,0.473684,,,,,,,,,,,,,,,,,,,,,,,0.421053,
      Mexico,19.263158,,,0.263158,,,,,,5.631579,0.684211,,,,,,,,,,0.684211,,,,,,0.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,5328.473684,227791.4211,,,,1055.526316,75.736842,1049.315789,1709.368421,1852.736842,266.473684,,203.684211,1351.421053,78.578947,750.578947,,929.473684,198.210526,657.631579,143.473684,44.526316,,,9.894737,,98.789474,113.684211,,,13.473684,1.578947,0.368421,6.578947,,,3.421053,,,,524.894737,,,,1348.263158,,0.315789,,,,,,,,6.578947,,,7,0.473684,,,,,,,,,,,111.894737,20.894737,,175.263158,,6,,,,0.894737,148.578947,4.947368,3.736842,2.315789,24.105263,,,,109.421053,11.736842,358.842105,784.105263,14.894737,774.052632,122.736842,459.473684,8.315789,736.526316,1672.736842,,95.315789,129.947368,,106.631579,329.052632,83.368421,,,,,,,0.421053,13.421053,13,53.210526,0.263158,,2.736842,15.947368,346.947368,3.578947,,,,1.263158,0.473684,,31,
      Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.105263,,,,8.526316,0.368421,25.842105,,,,,,,3.263158,,,,,,,,,,,,,,,,,,,,,,,,,,10.526316,,,,0.631579,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684211,164.947368,,,,10.684211,14.052632,5.210526,47.789474,2.368421,22.105263,18.157895,12.894737,,0.263158,5.421053,,0.421053,1.736842,1,,,,,,,0.263158,2.947368,,,,,,,,,,,,,1.947368,,,0.263158,72.052632,,,,,,,,,,,,,,,,,,,,,1.473684,,,,,,,0.894737,,,,,,,,,5.157895,,,,,,1.684211,0.789474,30.842105,16.894737,1.473684,,12,8.368421,0.421053,18.052632,16.368421,,2.631579,1.526316,,0.526316,6.105263,3.157895,,,,,,,0.421053,,2.052632,,,,0.789474,51.105263,2.789474,0.263158,,,,,,,0.315789,
      Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.947368,86.578947,,,,165.789474,0.421053,80.473684,5.684211,3.789474,,3.526316,49.052632,1.157895,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,0.894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684211,,0.789474,1.052632,,,0.894737,,,0.473684,0.947368,,1.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.473684,
      Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,1.894737,1827.368421,,,,67,16.368421,8.315789,26.947368,292.736842,25.736842,63.473684,0.631579,56.263158,1.157895,,,8.578947,2.684211,3.210526,,0.736842,,,6.578947,,105.157895,4.052632,1,,6.526316,11.157895,12.631579,4.421053,,,12.315789,,,1.368421,59.578947,,,,2.578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.263158,17.842105,,,3.894737,,,14.578947,36.526316,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
      Laia nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.894737,,,,,9.210526,,,36.631579,2,31.736842,,0.263158,,2.473684,,,351,586.894737,179.052632,104.052632,,,,,,,,,,224.157895,,,,,,,,,497.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736842,,,,,,,,0.842105,,4.368421,,,,,,49,,87.263158,12.210526,29.210526,,,,,,,,,,,,,,,,,,,1.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947368,17.263158,,,,0.421053,,,,,,2.631579,,,,,,541.210526,399.052632,,160.368421,91.526316,,,,,0.947368,,,,,,,,,,2.526316,,,,73.421053,,,,5.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.421053,,,,,,,0.263158,,34.473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.842105,,,,,,,,1.789474,,1.105263,,,,,,,0.368421,28.421053,,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.947368,,,,,,,,,,,,,,,,3.368421,0.578947,0.842105,0.263158,,,,,,2.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,1383.684211,349.157895,,,1.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Cacm nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,90.157895,2.105263,,,,,14.421053,,,,2.421053,,,,,,,,,,,,,3.526316,0.368421,,,,0.263158,2.105263,0.578947,,4.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894737,,,,,,,,,,1,9.578947,0.263158,,,,,,,32.263158,,,,,,,12.473684,,,,,,,1.578947,,,,,,0.368421,18.947368,,,,,,,,,,
      Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.789474,67.631579,5.052632,,,,,,,,,,,,,,,,,,,,,10.526316,,,,,15.105263,,7,12.684211,100.473684,352.315789,,,1.947368,,1.631579,27.578947,,6.578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,0.315789,,,22.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Cayman islds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.052632,,,,,,5.947368,,,,,,,,,,0.421053,0.421053,,,,,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315789,,,,,,,,,,,,,,,,0.315789,,,1.052632,,,,,,,,,,,,,,,,2.105263,,,,,,,,,,,,,,,
      Cuba,,8.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210526,,,,,3.157895,1.473684,,,4.368421,,22.315789,,0.421053,,3.105263,,0.421053,,,,5.052632,,,,,,,0.578947,,,,,,,,,,,,,,,,8.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,2,0.315789,17.105263,3,,,1.210526,1.842105,,35.631579,5.631579,,0.368421,,,,0.631579,,,,,,,,0.368421,,,14.315789,,,,,,,,,,,,,,
      Dominican Rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.263158,57.789474,,,,,,,,0.421053,,,,1.052632,,,,,,1.263158,,,,,,,,,,16.473684,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,2.421053,,,,1.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Guadeloupe,,,,2.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,,,,,,,,,,,,,13.578947,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,,28.105263,0.894737,,,0.736842,,,,,,38.210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.157895,,,,,,,,2.578947,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,
      Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.157895,290.789474,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,1.842105,,,,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789474,,,,,,,0.315789,,,,,,,,,,,2.263158,,,,,,,,,,,,,,
      Jamaica,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.947368,147.578947,0.263158,,,,,,,,,,,,,13.684211,,,,,,,,1.157895,75.263158,1.157895,,,0.684211,,,1.052632,5.789474,170.526316,,,2.210526,,,61.157895,0.368421,4.210526,,,64.894737,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,6.052632,20,,,1.263158,0.578947,,,114.157895,,,,,,,1.578947,,,,,,,0.315789,,,,,,,,,,,,,,,,,
      Neth Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.052632,,,,0.631579,,,,28.105263,0.368421,4.315789,,4.684211,,25.684211,,,,,,,,1.263158,0.263158,,,1.789474,,,,11.263158,4.842105,1.263158,,,,,,,0.631579,0.263158,,,49.052632,,,,,,,,,,4.894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.947368,,4.105263,,,,2,35.842105,,,1.315789,,,,,,,,,,,0.263158,,,,,,0.263158,,,,,,,,,,,,,26.894737,
      St Kitts Nev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315789,126.105263,,,,,,0.421053,,6.315789,,,,,,0.368421,,,,,,,,0.315789,0.421053,,,,5.789474,,0.421053,13.631579,29.578947,2,,,,,,,,,,,6.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.473684,0.947368,,,,0.315789,1.157895,1,69.578947,,0.368421,,,,0.789474,0.578947,,,,,,,0.421053,,,1.105263,,,,,,,,,,,,,,
      Trinidad Tbg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,,,,,,,,,,,,,,,,32.368421,176.789474,,,,1.052632,,0.421053,,0.368421,,,,,,9.105263,,,,,,,,1.263158,11.473684,1.578947,,,,,7.578947,1.368421,32.736842,,,,,,,2.368421,,0.947368,,,12.736842,,,,,,,,,,,,,20.473684,,,,,,,,,,,,,0.578947,,,,,,,,,,,,,,,,,,1.368421,5.157895,5.105263,,,2.684211,6.052632,,,18.578947,,,0.315789,,1.263158,,5.105263,,,,,,,,,,,,,,,1,,,,,,,,1.894737,
      Turks Caicos Isl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Caribbean nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.368421,,,,,,,,,,83.631579,,,,,,0.315789,,0.263158,0.263158,,,,,,,,,,,,,,,,,,,,,,,,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,
      Falkland Isl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736842,,,,,,0.894737,,,,,,,,,,,,,,,,,,,,,,,,,
      French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,2.315789,,,,,,,,,,,,,,,,,,,,,,,,5.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.578947,
      Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.263158,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.473684,
      Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.578947,,,,4,6.631579,45.315789,0.421053,29.894737,1.368421,72.526316,25.789474,7.421053,4.842105,12.315789,,39.210526,4.473684,3.052632,20.789474,5.052632,,,,,,,,,,6.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.368421,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,2.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.578947,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Rest America nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Israel,99.736842,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,1.894737,,,,,,,,,5,,,,,,,,,,,,1.526316,,,0.263158,140.105263,4397,,,,57.736842,,24.631579,79.526316,19.157895,0.315789,73.684211,,1.789474,3.631579,,,10.684211,0.368421,,,,,,,,,,,,1.105263,,1.631579,1.473684,,,,,,,0.631579,,,,522.421053,,47.631579,,,0.684211,,,,,,,,,17,,,,,,,,,,,93.263158,22.315789,1.894737,141,,,,,,0.842105,94.052632,14.894737,96.368421,8.052632,,,,,169.789474,94.157895,493.473684,1558.736842,109.947368,64.105263,176,994.157895,157.789474,87.842105,1385.631579,,77.052632,40.368421,,31.052632,54.263158,77.736842,,,0.842105,5.578947,,0.526316,5.578947,,5.684211,16.052632,9.684211,,2.578947,65.947368,107.684211,4.631579,,0.368421,,,,,2.157895,
      Japan,11098.94737,431.473684,3360.842105,231.052632,,41.421053,258.473684,2093.684211,,74.157895,0.894737,,26.789474,45.736842,,14.631579,6.263158,0.315789,,88.842105,18.105263,,56.578947,,64.105263,5.052632,72.052632,12.842105,232.473684,59.315789,37.473684,64.105263,19.894737,1.368421,4.894737,319.578947,51.578947,2.526316,3715.842105,1,721.105263,7.894737,,91.157895,79.368421,13.894737,,43.052632,36.473684,15.368421,61.421053,44.947368,22.157895,,63854,1077235.368,155.421053,,34.684211,8159.157895,161.052632,20549.89474,5647.842105,1363.578947,545.526316,25910.47368,2511.631579,1013.947368,904.631579,5185.842105,,679.684211,122.210526,620,129.842105,33.157895,,31.105263,150.263158,5.947368,312.684211,89.157895,860.842105,22.736842,82.842105,359.315789,56.894737,424.631579,,,94.526316,,193.947368,2.368421,3276.894737,63.842105,,5803.684211,,2170.052632,2163.473684,2776.894737,2967.842105,889.631579,14948.47368,2677.736842,2466.526316,2171.526316,29534.84211,,1631.263158,25236.21053,6732.684211,,361.526316,,734.789474,558.684211,2.052632,518.052632,443.684211,55.947368,1847.052632,151112.5789,3460.631579,14883.21053,65997.89474,119,31067.52632,379.421053,466.894737,1413.157895,11792.57895,197749.1053,49027.89474,95914.89474,47966.78947,1109.894737,59.578947,1475,,30232.68421,11677.31579,127136.8947,292181.0526,7757.263158,18622.63158,45470.26316,101874.6842,3401.894737,41939.84211,186057.3158,,17923.63158,12415.68421,577.842105,9118.631579,25127.47368,17999.21053,,85.578947,295.526316,,,860.684211,1760,58.842105,2284.842105,5520.368421,162.105263,,1930.105263,9275.578947,68138.21053,10937.1579,31.789474,362.263158,49.421053,782.894737,288.894737,1.210526,4.315789,
      Bahrain,,,,,,,0.421053,2.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.473684,,,,,,,,,,,1.578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,2.263158,3.157895,,10.631579,8.947368,83.157895,,0.789474,24.210526,,,,,,,,,,,,2.157895,,,0.473684,,1.315789,,,15.947368,,1.736842,,0.263158,,,,,,,,5.263158,2.315789,,,1.210526,0.789474,,0.789474,401.263158,,,,,,0.263158,0.684211,,,,,,,,,,,,,,,1.105263,,,,,,,,7,
